image#0#0	caption
244870123_dcb6e53643#1	two dogs fight over piece of cloth
244870123_dcb6e53643#2	two dogs tug on towel
244870123_dcb6e53643#3	two dogs with rag in their mouths
244870123_dcb6e53643#4	two large black dogs with red studded collars pulling on ends of white rag on porch
2448793019_5881c025f9#0	child with wild hair and sunglasses getting off blue slide
2448793019_5881c025f9#1	small child at the bottom of slide has hair sticking up
2448793019_5881c025f9#2	young child in blue jeans sliding down blue slide
2448793019_5881c025f9#3	young child wearing sunglasses is at the base of blue slide
2448793019_5881c025f9#4	distorted photograph of child at the bottom of slide
244910130_e1f823a28a#0	dark haired bearded man in glasses and hawaiian shirt is sitting on the grass
244910130_e1f823a28a#1	man wearing glasses sits in the grass
244910130_e1f823a28a#2	man with beard and glasses sits in the grass next to pine tree
244910130_e1f823a28a#3	man with glasses and beard sitting in the grass
244910130_e1f823a28a#4	an unshaven man sits in front of an evergreen tree
244910177_7c4ec3f65b#0	three woman walk down city street and one has pink purse
244910177_7c4ec3f65b#1	three women two with tattoos walking down the street
244910177_7c4ec3f65b#2	women are walking through the street drinking iced coffee
244910177_7c4ec3f65b#3	women walk down buzy sidewalk
244910177_7c4ec3f65b#4	women walking down the street
2449289139_08fc1092c1#0	black and tan dog is running along series of stone walkways spaced between grass
2449289139_08fc1092c1#1	dog running
2449289139_08fc1092c1#2	dog running in park
2449289139_08fc1092c1#3	dog running down paved walkway near japanese maple tree
2449289139_08fc1092c1#4	the dog runs in the park
2449446913_28fa5b7c75#0	group of baseball players wearing blue uniforms walk across the grass
2449446913_28fa5b7c75#1	men baseball team leaving the field
2449446913_28fa5b7c75#2	team of baseball players in blue uniforms walking together on field
2449446913_28fa5b7c75#3	group of people on ball team wearing blue and white uniforms some of gloves on their hands one is wearing red shoes tall trees are in the background
2449446913_28fa5b7c75#4	twelve members of baseball team walk across the diamond
2449518585_113dc4a8e5#0	girl swings on nice day
2449518585_113dc4a8e5#1	child in striped shirt is swinging from rope swing
2449518585_113dc4a8e5#2	girl swinging on swing outside in wooded area
2449518585_113dc4a8e5#3	the blonde girl with the blue stripe shirt is swinging
2449518585_113dc4a8e5#4	the young girl is on swing outdoors
2449552677_ee78f01bae#0	man in wheelchair riding to the park
2449552677_ee78f01bae#1	person in wheelchair is on sidewalk
2449552677_ee78f01bae#2	person wearing knit cap riding in wheelchair along seidwalk outside of building
2449552677_ee78f01bae#3	person with brown hat and black jacket is in wheelchair crossing in front of sign that says park
2449552677_ee78f01bae#4	the handicapped man wheels past the parking lot
2450299735_62c095f40e#0	child slides down slide and into the water
2450299735_62c095f40e#1	girl sliding into pool
2450299735_62c095f40e#2	little girl in white shirt sliding down green slide splashing into blue baby pool
2450299735_62c095f40e#3	little girl splashes in pool of water
2450299735_62c095f40e#4	little girl slides down in the pool
2450453051_f1d4a78ab4#0	black and white dog catches flying discs thrown by man
2450453051_f1d4a78ab4#1	black white dog catching frisbees thrown by man in white shirt
2450453051_f1d4a78ab4#2	dog jumps for frisbee at the purina incredible dog challenge
2450453051_f1d4a78ab4#3	man is throwing freesbies into the air and the border collie is catching them in the air
2450453051_f1d4a78ab4#4	man in white shirt tossing frisbee for black and white dog who has white frisbee in its mouth
2450486758_a66fd296ea#0	dog with frisbee jumps over man
2450486758_a66fd296ea#1	large crowd of people are sitting watching dog jump high up to catch frisbee with man standing under the dog looking up at it
2450486758_a66fd296ea#2	man ducks down as dog flies over his head to fetch frisbee
2450486758_a66fd296ea#3	white dog in blue leaps over man in blue outfit with yellow stars in order to catch frisbee whilst people stand by and watch
2450486758_a66fd296ea#4	man and jumping dog perform frisbee act for crowd at outdoor event
2451114871_8617ae2f16#0	dogs run at dog racetrack
2451114871_8617ae2f16#1	dogs with muzzles are racing around sandy track
2451114871_8617ae2f16#2	four dogs in blue green red and black jerseys are racing
2451114871_8617ae2f16#3	four dogs race around turn
2451114871_8617ae2f16#4	greyhounds racing chasing mechanical rabbit around the track
2451285022_59255e7fd9#0	man holds his brown dog back from jumping in the water
2451285022_59255e7fd9#1	man in white shirt is leaning over brown dog in an orange collar
2451285022_59255e7fd9#2	man is crouching down holding on to his large brown dog
2451285022_59255e7fd9#3	man standing behind black dog with red collar
2451285022_59255e7fd9#4	the man wearing tan hat and white shirt holds his brown dog which is wearing an orange collar
2451988767_244bff98d1#0	boy with his leg wrapped in blue tape
2451988767_244bff98d1#1	little boy with his leg covered in painters tape his brother wearing superman cape
2451988767_244bff98d1#2	boy with blue cast sits with boy in an orange cape
2451988767_244bff98d1#3	one boy has his leg wrapped in blue material and the other boy is wearing red cape
2451988767_244bff98d1#4	two kids playing super heroes
2452238877_2340609c6e#0	dog jumps off wooden porch
2452238877_2340609c6e#1	gold dog jumping off wooden porch
2452238877_2340609c6e#2	golden retriever is jumping off wooden porch
2452238877_2340609c6e#3	golden retriever jumping off wood porch
2452238877_2340609c6e#4	brown dog jumping off of deck
2452334314_a7c443a787#0	an equestrian and horse make jump on course
2452334314_a7c443a787#1	rider on white horse is in the middle of jump over hurdle
2452334314_a7c443a787#2	show jumper wearing blue helmet rides white horse over wooden fence that is decorated with red and yellow flowers
2452334314_a7c443a787#3	the rider is practicing jumps on beautiful white horse
2452334314_a7c443a787#4	white horse with jockey jumps barrier
245252561_4f20f1c89e#0	black animal and white animal in motion in close quarters
245252561_4f20f1c89e#1	black dog and white dog playing in the street
245252561_4f20f1c89e#2	black dog and white dog play in the street together
245252561_4f20f1c89e#3	black shaggy haired dog is playing with brown and white fluffy dog on the gravel
245252561_4f20f1c89e#4	two dogs are playing together on the pavement
2452686995_621878f561#0	beautiful waterfall with two people walking on the road beside it
2452686995_621878f561#1	beautiful waterfall flows down the side of mossy rock wall
2452686995_621878f561#2	waterfall cascades into shallow pool
2452686995_621878f561#3	waterfall splashes into pool at the bottom of steep grassy hill
2452686995_621878f561#4	two people travel down path going though woods with giant waterfall
2453318633_550228acd4#0	brown and black dog is jumping through ring of fire
2453318633_550228acd4#1	brown and black dog jumping through hoop of fire
2453318633_550228acd4#2	dog jumping through ring of fire
2453318633_550228acd4#3	german shepherd is jumping through ring on fire
2453318633_550228acd4#4	tan and black dog leaps through burning hoop on field
2453891449_fedb277908#0	white dog chasing black dog across the grass
2453891449_fedb277908#1	white dog is following black dog through the grassy area
2453891449_fedb277908#2	there are two dogs black and white and the black one is jumping
2453891449_fedb277908#3	two dogs running in grassy fenced in area surrounded by trees
2453891449_fedb277908#4	two dogs running through yard with forest in the distance
2453971388_76616b6a82#0	two girls running through pool while water sprays over them
2453971388_76616b6a82#1	two girls run through sprinkler in pool
2453971388_76616b6a82#2	two smiling little girls playing in fountain with other people
2453971388_76616b6a82#3	two young girls are running through shallow water at pool
2453971388_76616b6a82#4	two young girls run through pool while water sprays them
2453990033_df53f0d8c8#0	girl in red jumps across path
2453990033_df53f0d8c8#1	girls in red sweatsuit leaps through the air
2453990033_df53f0d8c8#2	young girl dressed in red hoodie red pants and red sneakers in midair front split pose
2453990033_df53f0d8c8#3	girl in red jumping up
2453990033_df53f0d8c8#4	the girl in the bright red outfit is skipping across the path
245442617_407eba1e98#0	girl in black tank top catches fish
245442617_407eba1e98#1	woman holds fish up that is connected to her fishing pole
245442617_407eba1e98#2	woman in black bathing suit holds up fish
245442617_407eba1e98#3	young woman holds up fish she caught
245442617_407eba1e98#4	the woman is holding up the line with the fish that she caught in the lake with her bamboo fishing pole
2455286250_fb6a66175a#0	boy throws soccer ball from the sidelines in soccer game
2455286250_fb6a66175a#1	child holding soccer ball over his head
2455286250_fb6a66175a#2	child holds soccer ball above their head while group of seated people watch
2455286250_fb6a66175a#3	child holds soccer ball while people watch
2455286250_fb6a66175a#4	girl in sports outfit balances soccer ball on her head
2455528149_6c3477fd33#0	delivery man is passing by two people at an art gallery
2455528149_6c3477fd33#1	man and woman are looking at artwork that is on easels and clipped to fencing wall
2455528149_6c3477fd33#2	man with basket is walking through an are gallery
2455528149_6c3477fd33#3	people admiring paintings on the street
2455528149_6c3477fd33#4	some people are looking at pictures at an art gallery
2456030728_d3d147e774#0	little girl with blue bow holding plushie while picking her nose
2456030728_d3d147e774#1	little girl with ribbon in her hair is picking her nose
2456030728_d3d147e774#2	an asian girl with finger up her nose
2456030728_d3d147e774#3	young girl picks her nose
2456030728_d3d147e774#4	young asian girl with blue hair ribbon picking nose
2456615908_59cdac6605#0	black dog carries bird in its mouth as it jumps over fence
2456615908_59cdac6605#1	black dog jumping wire fence with dead bird in his mouth
2456615908_59cdac6605#2	dog holding bird in its mouth jumping fence
2456615908_59cdac6605#3	dog trying to jump wire fence with something in his mouth
2456615908_59cdac6605#4	the black dog is jumping over fence with bird in its mouth
2456907314_49bc4591c4#0	man is docking boat
2456907314_49bc4591c4#1	man is using long pole to push two boats apart
2456907314_49bc4591c4#2	man on boat is using large stick to push another boat away
2456907314_49bc4591c4#3	man on fishing boat pushing wooden pole into the water
2456907314_49bc4591c4#4	man standing on boat is pulling another boat close by with bamboo stick
2457052334_b5a1d99048#0	boy with red shirt climbs large rock while man with red shirt helps him
2457052334_b5a1d99048#1	man climbing the face of rock
